"SASAP.Region","Species","Year","escapement"
"Alaska Peninsula and Aleutian Islands","Chinook",1974,1092
"Alaska Peninsula and Aleutian Islands","Chinook",1975,1917
"Alaska Peninsula and Aleutian Islands","Chinook",1976,3045
"Alaska Peninsula and Aleutian Islands","Chinook",1977,4844
"Alaska Peninsula and Aleutian Islands","Chinook",1978,3901
"Alaska Peninsula and Aleutian Islands","Chinook",1979,10463
"Alaska Peninsula and Aleutian Islands","Chinook",1980,4506
"Alaska Peninsula and Aleutian Islands","Chinook",1981,5046
"Alaska Peninsula and Aleutian Islands","Chinook",1982,6503
"Alaska Peninsula and Aleutian Islands","Chinook",1983,11589
"Alaska Peninsula and Aleutian Islands","Chinook",1984,5412
"Alaska Peninsula and Aleutian Islands","Chinook",1985,2861
"Alaska Peninsula and Aleutian Islands","Chinook",1986,758
"Alaska Peninsula and Aleutian Islands","Chinook",1987,844
"Alaska Peninsula and Aleutian Islands","Chinook",1989,330
"Alaska Peninsula and Aleutian Islands","Chinook",1990,250
"Alaska Peninsula and Aleutian Islands","Chinook",1991,659
"Alaska Peninsula and Aleutian Islands","Chinook",1992,551
"Alaska Peninsula and Aleutian Islands","Chinook",1994,1658
"Alaska Peninsula and Aleutian Islands","Chinook",1995,1116
"Alaska Peninsula and Aleutian Islands","Chinook",1996,1178
"Alaska Peninsula and Aleutian Islands","Chinook",1997,1360
"Alaska Peninsula and Aleutian Islands","Chinook",1998,3159
"Alaska Peninsula and Aleutian Islands","Chinook",1999,2601
"Alaska Peninsula and Aleutian Islands","Chinook",2000,3975
"Alaska Peninsula and Aleutian Islands","Chinook",2001,5632
"Alaska Peninsula and Aleutian Islands","Chinook",2002,4708
"Alaska Peninsula and Aleutian Islands","Chinook",2003,3428
"Alaska Peninsula and Aleutian Islands","Chinook",2004,6677
"Alaska Peninsula and Aleutian Islands","Chinook",2005,3608
"Alaska Peninsula and Aleutian Islands","Chinook",2006,1918
"Alaska Peninsula and Aleutian Islands","Chinook",2007,2654
"Alaska Peninsula and Aleutian Islands","Chinook",2008,4773
"Alaska Peninsula and Aleutian Islands","Chinook",2009,1432
"Alaska Peninsula and Aleutian Islands","Chinook",2010,2805
"Alaska Peninsula and Aleutian Islands","Chinook",2011,1601
"Alaska Peninsula and Aleutian Islands","Chinook",2012,1055
"Alaska Peninsula and Aleutian Islands","Chinook",2013,1346
"Alaska Peninsula and Aleutian Islands","Chinook",2014,3152
"Alaska Peninsula and Aleutian Islands","Chinook",2015,2906
"Alaska Peninsula and Aleutian Islands","Chinook",2016,6164
"Alaska Peninsula and Aleutian Islands","Chum",1974,8244
"Alaska Peninsula and Aleutian Islands","Chum",1975,4498
"Alaska Peninsula and Aleutian Islands","Chum",1976,42110
"Alaska Peninsula and Aleutian Islands","Chum",1977,83139
"Alaska Peninsula and Aleutian Islands","Chum",1978,10191
"Alaska Peninsula and Aleutian Islands","Chum",1979,36968
"Alaska Peninsula and Aleutian Islands","Chum",1980,156165
"Alaska Peninsula and Aleutian Islands","Chum",1981,54363
"Alaska Peninsula and Aleutian Islands","Chum",1982,28128
"Alaska Peninsula and Aleutian Islands","Chum",1983,12132
"Alaska Peninsula and Aleutian Islands","Chum",1984,45115
"Alaska Peninsula and Aleutian Islands","Chum",1985,12567
"Alaska Peninsula and Aleutian Islands","Chum",1989,425
"Alaska Peninsula and Aleutian Islands","Chum",1990,336
"Alaska Peninsula and Aleutian Islands","Chum",1991,739
"Alaska Peninsula and Aleutian Islands","Chum",1992,259
"Alaska Peninsula and Aleutian Islands","Chum",1994,472
"Alaska Peninsula and Aleutian Islands","Chum",1995,1333
"Alaska Peninsula and Aleutian Islands","Chum",1996,1629
"Alaska Peninsula and Aleutian Islands","Chum",1997,288
"Alaska Peninsula and Aleutian Islands","Chum",1998,1751
"Alaska Peninsula and Aleutian Islands","Chum",1999,4067
"Alaska Peninsula and Aleutian Islands","Chum",2000,15093
"Alaska Peninsula and Aleutian Islands","Chum",2001,37637
"Alaska Peninsula and Aleutian Islands","Chum",2002,45333
"Alaska Peninsula and Aleutian Islands","Chum",2003,1087
"Alaska Peninsula and Aleutian Islands","Chum",2004,2050
"Alaska Peninsula and Aleutian Islands","Chum",2005,4322
